headlines,date,source
"NTPC Green Energy Inks Rs 80,000 Cr MoU With Maharashtra Govt for Green Hydrogen ",2024-01-31 10:52:54+00:00,Adda247
"Maharashtra Spearheads Green Energy Revolution with ₹2,76300 Crore Investment and 63900 Jobs in Green ... ",2024-02-02 12:49:24+00:00,SolarQuarter
‘Gujarat can lead world in green hydrogen’ ,2024-02-02 03:01:00+00:00,Times of India
India Launches Pilot Projects for Green Hydrogen in Maritime Sector under National Mission ,2024-02-02 10:00:49+00:00,SolarQuarter
"Budget 2024: Rooftop solar, green hydrogen push — experts discuss initiatives to charge up renewable energy sector | Mint ",2024-02-02 12:50:00+00:00,Mint
"Rs 11,500 crore outlay: Budget 2024 adds spark to wind & solar energy, green hydrogen projects ",2024-02-01 13:17:21+00:00,Business Today
"Reliance Industries to convert its 5,000 ICE trucks to green hydrogen",2024-02-03 13:12:40+00:00,Autocar Professional
Chinese electrolyser companies secure export orders for green hydrogen projects in Middle East and Asia ,2024-02-02 12:51:00+00:00,Hydrogen Insight
Hygenco to invest $2.5 bn over 3 years to set up Green Hydrogen projects in India ,2024-01-31 12:22:06+00:00,ETEnergyWorld
"The Hydrogen Stream: Airbus, Vattenfall to assess potential for airport hydrogen ",2024-02-02 16:50:38+00:00,pv magazine International
Support for Ports and Portability to Green Hydrogen ,2024-02-03 03:38:07+00:00,ETAuto
Green Hydrogen Revolution in Indian Steel: National Mission Unleashes Promising Pilot Initiatives ,2024-02-03 05:29:53+00:00,SolarQuarter
Disinvestment,2024-02-03 09:42:33+00:00,PSU Watch
Government Issues Pilot Project Guidelines For Utilizing Green Hydrogen In Steel Sector ,2024-02-03 17:07:46+00:00,Khabar India
India Launches Green Hydrogen Pilot Projects in Shipping Sector ,2024-02-03 08:32:45+00:00,Energetica India
Government issues Guidelines for Pilot Projects for utilizing Green Hydrogen in Shipping Sector ,2024-02-03 06:33:12+00:00,Nagaland Tribune
MNRE issues guidelines for pilot projects implementing Green Hydrogen in steel sector ,2024-02-02 17:51:25+00:00,CNBCTV18
Green Hydrogen Mission gets whopping 102% hike in allocation in Interim Budget ,2024-02-01 15:38:12+00:00,The Economic Times
"SAF, Green Hydrogen, CCUS likely to be in spotlight at IEW 2024: EIL CMD ",2024-02-03 16:54:39+00:00,PSU Watch
Government of India Unveils Guidelines for Green Hydrogen Pilot Projects in Steel Sector ,2024-02-03 07:47:00+00:00,Energetica India
"Lhyfe to Start Construction of 10 MW Green Hydrogen Plant in Brake, Germany ",2024-02-03 06:51:49+00:00,Energetica India
Budget 2024: Green hydrogen’s allocation rises by whopping 102 per cent ,2024-02-02 01:30:00+00:00,ETEnergyWorld
"Jakson Green, NTPC Commence Work on World's Largest Green Hydrogen Fueling Station ",2024-02-03 06:32:00+00:00,Energetica India
'Gujarat can lead world in green hydrogen' ,2024-02-02 02:30:00+00:00,Times of India
"NTPC Green Energy inks MoU with Maharashtra Govt for green hydrogen projects Worth ₹80,000 crore ",2024-01-30 08:10:07+00:00,ETEnergyWorld
State signs MoUs for green hydrogen projects and steel plant ,2024-01-30 02:38:04+00:00,Hindustan Times
MNRE releases guidelines on use of green hydrogen in shipping sector ,2024-02-02 16:51:47+00:00,Business Standard
Steel and Port Ministries issue guidelines to incentivise hydrogen usage ,2024-02-02 16:50:05+00:00,BusinessLine
Centre issues Pilot Project Guidelines for utilizing Green Hydrogen in Steel Sector ,2024-02-03 03:48:27+00:00,Jharkhand State News
"THDC Unveils Trailblazing Green Hydrogen Pilot Project in Uttarakhand, Pioneering Sustainable Energy Solutions ",2024-02-02 11:06:23+00:00,SolarQuarter
Jordan's Energy Minister Inks MoU For Green Hydrogen Project Feasibility Studies ,2024-02-02 08:51:34+00:00,SolarQuarter
"ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala ",2024-01-29 01:43:42+00:00,ETEnergyWorld
India's Plans to Achieve Cost,2024-01-26 06:12:20+00:00,India Briefing
Government Launches Pilot Projects Using Green Hydrogen in Shipping ,2024-02-02 13:02:33+00:00,Mercom India
"Rooftop solar, green hydrogen, offshore wind, green energy corridor may find mention in FM's Budget speech ",2024-01-31 19:31:44+00:00,Moneycontrol
"Budget boost for clean energy: Solar allocation soars to ₹8,500 cr; green hydrogen funding doubles ",2024-02-02 02:48:43+00:00,ETEnergyWorld
Gujarat ready to emerge as global leader in green hydrogen production Guv Devvrat in Assembly ,2024-02-01 13:34:09+00:00,The Week
MNRE Issues Guidelines for Pilot Projects for Utilizing Green Hydrogen in the Shipping & Steel Sector ,2024-02-03 11:32:47+00:00,AffairsCloud.com
Semarak RE And PowerChina Join Forces For Malaysia's First Large,2024-02-02 08:30:38+00:00,SolarQuarter
The Hydrogen Stream: India's Maharashtra signs MoUs for green hydrogen projects worth over $33.2 billion ,2024-01-30 05:56:22+00:00,pv magazine India
Govt to provide 50% financial aid to pilot projects using Green Hydrogen in steel sector ,2024-02-02 16:10:57+00:00,PSU Watch
Egypt launches 55% tax credit to boost green hydrogen production ,2024-02-02 11:07:29+00:00,ETN News
NGEL Inks MoU with Maharashtra for Green Hydrogen Projects ,2024-01-31 11:03:46+00:00,SMEStreet
NTPC Green Energy Limited Enters Agreement with Maharashtra Government for Green Hydrogen Development ,2024-01-31 03:53:17+00:00,SolarQuarter
"NTPC arm, Maharashtra govt ink pact to develop green hydrogen projects ",2024-01-30 08:14:54+00:00,Business Standard
Lhyfe begins construction of 10 MW green hydrogen plant in Lower Saxony ,2024-02-02 02:57:05+00:00,ETN News
Lhyfe Commences Construction on 10,2024-02-02 09:58:11+00:00,ChemAnalyst
Electrolyzer Technologies That Can Drive Green Hydrogen Success ,2024-02-01 13:08:18+00:00,EE Times Europe
"NTPC Green Energy to invest ₹80,000 cr for Maharashtra projects | Mint ",2024-01-30 12:43:07+00:00,Mint
THDC Reveals Innovative Green Hydrogen Pilot Project ,2024-02-01 07:11:59+00:00,Machine Maker
Govt unveils guidelines for supporting pilot projects using Green Hydrogen in shipping sector ,2024-02-02 17:10:12+00:00,PSU Watch
NTPC arm signs MoU for INR 80000 crore green hydrogen to ammonia project ,2024-01-30 16:03:47+00:00,pv magazine India
Linde Commences Delivery of Green Hydrogen and Captured Carbon Dioxide to Celanese ,2024-02-01 14:02:32+00:00,ChemAnalyst
Govt issues guidelines for pilot projects on utilizing green hydrogen in shipping sector ,2024-02-02 17:07:00+00:00,ANI News
H2V to Integrate Vallourec’s Hydrogen Storage System into Green Hydrogen Projects ,2024-02-02 12:20:55+00:00,Energetica India
Hygenco To Allocate $2.5 Bn To Set Up Green Hydrogen Projects ,2024-02-01 08:33:35+00:00,Machine Maker
"ONEE, Nareva, and GE Vernova Forge Partnership to Decarbonize Laâyoune Power Plant with Africa's First Green ... ",2024-02-01 12:38:32+00:00,SolarQuarter
Germany and EU Invest Over €1 Billion to Propel Global Green Hydrogen Economy ,2024-02-02 11:53:17+00:00,SolarQuarter
34 Companies Bid for Green Hydrogen Subsidies in India ,2023-12-21 08:00:00+00:00,India Briefing
Lhyfe Starts Building a New Green Hydrogen Production Plant in Germany ,2024-02-02 08:00:00+00:00,DirectIndustry e-Magazine
Green Hydrogen Market 2023 to 2032 ,2024-01-31 06:36:32+00:00,TimesTech
Chart: Which countries are leading the green hydrogen race? ,2024-02-02 08:30:00+00:00,Canary Media
Green hydrogen in transport: RK Singh chairs crucial meeting for national mission ,2024-01-26 03:23:27+00:00,ETEnergyWorld
Lhyfe begins building green hydrogen plant in Germany ,2024-02-01 12:03:14+00:00,Energy Global
Lhyfe to build green hydrogen plant in northern Germany ,2024-02-01 16:10:31+00:00,ChemEngOnline
Green Hydrogen in Shipping: India Unveils Pilot Projects with 115 Crore Budget ,2024-02-02 14:48:20+00:00,Goodreturns
Indian Government Explores Green Hydrogen for Transport: Advancing Sustainable Solutions and Decarbonization ,2024-01-29 06:37:54+00:00,SolarQuarter
Baker Hughes signs MoU with 10.8GW green hydrogen project developer ,2024-01-31 14:17:02+00:00,H2 View
Making green hydrogen from coke cans ,2024-01-26 08:00:00+00:00,BusinessLine
Office of Alumni & Corporate Relations ,2024-01-30 10:31:58+00:00,Office of Alumni & Corporate Relations
"BASF, Envision Energy to produce e",2024-02-01 10:32:47+00:00,Offshore Energy
University of St Andrews secures £2 million grant for Green Hydrogen Accelerator ,2024-02-01 10:59:26+00:00,Open Access Government
Lhyfe breaks ground on 10,2024-02-01 10:45:00+00:00,Renewables Now
Gujarat to have capacity to produce 40 lakh MT green hydrogen yearly: Governor ,2024-02-01 14:07:33+00:00,DeshGujarat
Enagas CEO: Spain can produce 2.5 mln tons/yr of green hydrogen by 2030 ,2024-01-31 10:31:00+00:00,Reuters.com
The greenwashing trap: how green hydrogen can keep its promises ,2024-01-31 20:23:55+00:00,Power Technology
Gujarat ready to emerge as global leader in green hydrogen production: Guv Devvrat in Assembly ,2024-02-01 13:01:30+00:00,ThePrint
"ONEE, Nareva, & GE Vernova Partner for Africa's 1st Green Hydrogen Transition in Laâyoune ",2024-02-02 07:28:32+00:00,ChemAnalyst
"DIPAM approves listing of NTPC Green Energy to raise Rs 10,000 crore ",2024-01-31 10:40:53+00:00,Deccan Herald
MNRE launches scheme to incentivise production of green hydrogen ,2024-01-19 08:00:00+00:00,Down To Earth Magazine
"Walmart, Amazon, Home Depot set to receive Plug",2024-02-01 14:12:32+00:00,H2 View
Rystad Energy is foreseeing an acceleration in momentum within the renewable,2024-01-29 12:48:20+00:00,ChemAnalyst
NGEL signs MoU with Govt of Maharashtra for development of Green Hydrogen Projects ,2024-01-30 05:55:45+00:00,PSU Watch
"Gujarat Will Achieve 40 Lakh MT Green Hydrogen Production Capacity Yearly, Says Governor Acharya Devvrat ",2024-02-01 15:40:10+00:00,Free Press Journal
NTPC inks pact for green hydrogen project in Maharashtra ,2024-01-30 07:18:43+00:00,Investing.com India
Gujarat,2024-01-26 00:07:40+00:00,CMO Gujarat
NGEL Inks MoU with Maharashtra Government for Green Hydrogen and RE Development ,2024-01-30 08:27:03+00:00,Energetica India
"India Energy Week to focus on green hydrogen, biogas ",2024-01-29 19:30:00+00:00,The Financial Express
"Maha Govt Inks MOUs Worth Rs 2.76 lakh Cr For Green Hydrogen Production, To Create 64,000 Jobs ",2024-01-29 13:37:10+00:00,HW News English
THDC inaugurates India's largest green hydrogen pilot based on PEM fuel cell ,2024-01-29 07:49:30+00:00,ETN News
Maharashtra Govt Inks 7 MoUs for Green Hydrogen Production ,2024-01-30 05:22:46+00:00,Biltrax Media
APM Terminals Pipavav to develop green hydrogen infrastructure ,2024-01-31 19:03:09+00:00,The Maritime Standard
Maha Govt signs MoU with 7 green hydrogen producers ,2024-01-29 13:36:00+00:00,United News of India
Jakson Green to ship first green hydrogen electrolyser in few months ,2024-01-01 08:00:00+00:00,ETEnergyWorld
"NGEL, Maha Govt Sign Green Hydrogen MoU; Aim Rs 80, 000 Cr Investment ",2024-01-30 09:33:45+00:00,BW Businessworld
Fuelling The Future: Hygenco's $2.5 Billion Pledge To Transform India's Energy Landscape ,2024-02-02 07:24:00+00:00,Swarajya
Lhyfe breaks ground on 10MW green hydrogen plant in German seaport city ,2024-02-01 11:17:13+00:00,H2 View
BASF and Envision Energy to accelerate conversion of green hydrogen and CO2 into e,2024-01-30 03:03:54+00:00,Autocar Professional
Envision Energy and BASF plan to enhance green hydrogen,2024-01-31 08:33:46+00:00,H2 View
"Marco Arcelli, ACWA Power CEO, says ACWA Power is responsible for delivering ""70% of the renewable energy, new capacity"" in Saudi Arabia, alongside the PIF and Aramco.",2024-01-29 03:10:42+00:00,CNBC
"Conrad Keijzer, CEO of Clariant, discusses climate change and the focus on AI at Davos 2024.",2024-01-17 10:07:08+00:00,CNBC
"Marco Alverà, CEO of green hydrogen firm TES, makes his case for why, amid key elections, 2024 must be a year of delivering climate and sustainability goals.",2024-01-15 07:37:50+00:00,CNBC
Here are Wednesday's biggest calls on Wall Street.,2024-01-31 11:57:33+00:00,CNBC
"Despite the hydrogen stock bubble bursting, Bernstein believes the industry is well-positioned to rebound as its importance in the energy transition grows.",2023-08-11 15:18:35+00:00,CNBC
"Blending hydrogen into natural gas infrastructure will be needed to meet decarbonization goals, according to the CEO of Italgas.",2023-11-09 05:00:18+00:00,CNBC
"""The industry knows how to transport hydrogen ... it's not new, it's just expensive,"" says Murray Douglas, head of hydrogen research at Wood Mackenzie.",2023-07-04 04:20:24+00:00,CNBC
Here are Thursday's biggest calls on Wall Street.,2024-01-25 08:19:40+00:00,CNBC
The use of hydrogen in the shift to a more sustainable future has become a big talking point in recent years.,2022-11-30 08:11:51+00:00,CNBC
